"gx" "gy" 
"SHORCR" 416.06 277.86
"SHORTR" 307.08 300.36
"SHORCR" 406.98 429.21
"HUMBLA" 242.94 75.86
"GARCHE" 15.23 159.54
"SHORAF" 47.74 498.62
"AGROHO" 94.06 61.27
"PSYCDU" 123.43 283.92
"AGROIN" 459.15 266.2
"AGROIN" 451.9 441.82
"MANGZE" 188.5 176.71
"IXORJU" 245.43 15.58
"UNIDEN" 185.42 272.55
"MESUNA" 371.72 362.69
"HUMBLA" 389.63 342.7
"HUMBLA" 472.48 26.45
"AGROIN" 392.71 141.29
"GARCHE" 278.27 142.25
"SHORDI" 436.65 168.3
"AGROIN" 396.98 83.68
"DYSOPE" 41.13 243.07
"MESUNA" 472.59 71.48
"HYDNOC" 483.33 191.46
"MYRIDA" 211.77 344.17
"UROPEL" 8.53 311.73
"SHORDI" 389.48 42.23
"UROPEL" 18.41 231.7
"HUMBLA" 145.83 359.72
"UNIDEN" 388.7 344.5
"GARCHE" 426.25 177.63
"HUMBLA" 287.57 122.4
"MESUNA" 372.65 367.79
"UNIDEN" 89.36 372.7
"AGROIN" 409.16 163.84
"GARCHE" 213.89 108.5
"UNIDEN" 286.35 361.96
"PALATH" 271.42 20.84
"GARCHE" 208.8 374.39
"PSYCNI" 49.18 232.06
"PALACA" 109.07 107.75
"AGROIN" 383.36 10.71
"SYZYSP" 185.8 405.19
"SHORCR" 381 141.94
"LITSIT" 497.9 400.59
"MESUNA" 168.85 361.71
"SHORDI" 437.48 72.31
"UNIDEN" 384 450.9
"HUMBLA" 413.59 281.32
"AGROHO" 77.45 70.29
"MESUNA" 169.45 338.32
"HUMBLA" 431.11 291.23
"AGROIN" 203.65 56.03
"HUMBLA" 49.85 93.4
"SHORAF" 414.43 125.87
"SHORDI" 351.47 384.49
"MEMEAR" 408.07 452.05
"NARGMA" 413.28 88.04
"SHORAF" 330.05 25.05
"AXINZE" 331.02 461.27
"CULLCE" 64.15 5.4
"URANAP" 392.62 222.76
"MESUNA" 499.33 316.9
"AGROIN" 393.88 83.73
"BHESCE" 48.74 48.83
"MESUFE" 413.83 226.52
"SHORDI" 401.56 142.21
"AGROIN" 403.04 354.42
"AGROHO" 176.38 81.96
"MYRIDA" 175.14 162.46
"GAERVA" 108.1 265.91
"HUMBLA" 26.06 390.54
"GARCTH" 479.46 467.09
"SHORCR" 474.53 91
"UNIDEN" 329.5 373.1
"MESUNA" 399.25 60.9
"AGROHO" 167.5 66.6
"SHORCR" 459.46 426.88
"AGROIN" 299.63 25.56
"CULLRO" 242.86 11.19
"SHORCR" 406.9 119.41
"HUMBLA" 484.51 151.71
"HUMBLA" 461.08 162.24
"BHESCE" 24.55 24.76
"UNIDEN" 169.22 360.5
"AGROHO" 167.02 99.34
"SYZYWI" 265.39 360.49
"SHORTR" 155 172.86
"DILLRE" 214.08 438.14
"GARCHE" 135.7 204.85
"UNIDEN" 336.19 123.5
"APAMSI" 169.44 391.6
"UNIDEN" 491.19 20.64
"SHORDI" 204.4 88.61
"CULLRO" 468.2 163.76
"AGROIN" 488.61 365.77
"PALAPE" 345 44.54
"AGROIN" 396.62 455
"MESUNA" 374.46 118
"MYRIDA" 188.8 163
"CINNCA" 459.1 403.9
"AGROIN" 359.74 419.41
"NARGMA" 236.24 58.23
"SHORTR" 328.58 431.35
"HUMBLA" 151.99 200.28
"ANISCI" 90.34 399.86
"SYZYWI" 95.19 306.4
"CARACA" 214.85 451.71
"HUMBLA" 154.81 344.69
"UNIDEN" 435.08 59.06
"HUMBLA" 374.67 178.25
"DILLRE" 250.69 468.88
"MEMERO" 180.53 281.94
"HUMBLA" 116.95 365.78
"MESUNA" 419.22 207.09
"AGROIN" 121.08 368.43
"UROPEL" 263.13 306.04
"PALATH" 408.42 87.52
"MESUNA" 459.41 465.69
"SCHUCA" 266.61 184.8
"SCHUCA" 78.8 299.76
"AGROIN" 443.98 398.79
"PALAHI" 336.29 186.27
"AGROIN" 396.33 218.79
"MESUNA" 379.2 323.85
"MESUNA" 40.5 99.16
"MESUNA" 1.98 393.89
"HUMBLA" 8.15 57.35
"UNIDEN" 139.71 474.46
"ERYTOB" 232.73 216.63
"SHORAF" 450.64 384.4
"HUMBLA" 5.29 496.78
"HUMBLA" 15.3 479.15
"MASTTE" 92.65 181.62
"AGROIN" 490.85 50.59
"HOPEJU" 457.57 265.65
"AGROHO" 53.04 74.39
"MESUNA" 260.92 126.67
"DIOSAC" 302.06 144.06
"ELAESU" 48.05 253.61
"GLENUN" 233.68 317.38
"PALAPE" 327.71 338.68
"HUMBLA" 90.52 76.45
"GARCHE" 366.58 488.24
"MESUFE" 399.3 313.52
"SYMPCO" 57.78 193.73
"HUMBLA" 31.85 110.08
"AGROIN" 189.08 366.33
"CRYPWI" 174.21 290.64
"SHORDI" 381.03 10.25
"XYLOCH" 194.35 193.32
"MEMEVA" 34.7 324.5
"MESUNA" 451.9 435.28
"HUMBLA" 125 368.28
"UROPEL" 79.32 227.4
"GLOCAC" 239.49 319.43
"AGROHO" 119.37 34.17
"HUMBLA" 416.72 444
"SHORCR" 426.41 186.05
"SHORME" 330.3 107.5
"WALSPI" 113.18 450.73
"GARCHE" 328.89 86.76
"PSYCNI" 140.75 118.41
"HYDNOC" 29.6 17.57
"PSYCNI" 262.77 344.86
"HUMBLA" 163.17 334.62
"UNIDEN" 89.46 347.5
"PALACA" 140.09 386.3
"HUMBLA" 344.63 371.07
"GARCHE" 110.98 373.3
"LITSLO" 222.91 216.21
"HUMBLA" 384.26 155.88
"SHORST" 293.63 400.83
"GARCSP" 242.25 303
"HUMBLA" 403.97 289.23
"PSYCDU" 272.41 392.79
"AGROHO" 190.25 22.1
"HOPEJU" 315.78 397.31
"SHORAF" 10.43 450.28
"HUMBLA" 346.85 183.21
"MESUNA" 285.47 111.57
"PSYCDU" 342.68 324.65
"AGROIN" 236.2 23.43
"HUMBLA" 398.75 354.38
"CALOTH" 486.46 233.71
"MESUFE" 355.89 267
"SHORAF" 398.45 485.49
"MESUFE" 404.05 283.64
"PALATH" 444.3 264.04
"DIOSAC" 358.93 355.4
"ALLOZE" 76.01 247.95
"LASIOB" 459.39 377.08
"AGROIN" 488.8 167.15
"GARCMO" 341.25 185.43
"DIOSHI" 318.89 120.73
"CULLCE" 115.25 52.5
"PALATH" 447.92 189.11
"AGROIN" 458.68 436.83
"NARGMA" 492.57 29.06
"AGROIN" 392.97 343.59
"PALAPE" 445.43 388.96
"UNIDEN" 141.65 257.38
"MESUNA" 481.85 417.12
"GARCHE" 373.78 346.73
"GARCHE" 271.39 257.97
"PALAPE" 468.16 363.63
"SHORAF" 476.31 27.8
"SHORME" 331.02 136.04
"GLOCAC" 70.69 356.97
"AGROHO" 170.28 57.4
"UNIDEN" 438.36 9.8
"CULLCE" 221.58 309.55
"MASTTE" 47.67 194.61
"AGROIN" 427.84 487.88
"GARCHE" 183.04 372.95
"HUMBLA" 380.26 351.85
"APAMSI" 49.53 148.21
"SHORWO" 470.72 180.79
"HUMBLA" 86.88 74.2
"UROPEL" 106.57 413.9
"HUMBLA" 487.24 296.51
"GARCHE" 125.4 127.28
"AGROIN" 433.08 171.4
"PALAPE" 470.4 371.1
"MESUFE" 463.43 364.95
"SEMEGA" 77.8 241.94
"HUMBLA" 96.07 226.54
"LEEAIN" 57.31 323.75
"SEMEWA" 206.08 405.71
"GARCHE" 318.84 302.74
"MESUNA" 341.27 89.4
"UNIDEN" 1.38 361.15
"SHORDI" 487.7 150.61
"GARCHE" 298.58 196.6
"AGROHO" 183.51 134.57
"HUMBLA" 52.93 92.57
"DIOSHI" 134.24 131.27
"MESUNA" 424.42 411.15
"AGROIN" 462.59 162.9
"AGROIN" 227.65 32.88
"PALACA" 74.85 51.25
"MESUNA" 196.52 40.5
"CALOTH" 489.52 465.14
"ALLOZE" 95.8 325.54
"MESUNA" 363.54 456.67
"MESUFE" 269.02 68.54
"HYDNOC" 19.37 16.41
"AGROHO" 77.14 82.36
"CULLCE" 319.5 408.54
"ALLOZE" 40.35 362.63
"MESUNA" 392.2 43.47
"CRYPWI" 178.92 223.65
"PALATH" 428.17 211
"HUMBLA" 93.24 173.93
"GYRIWA" 479.71 412.18
"SYMPHI" 135.13 64.04
"CARACA" 491.88 185.39
"PALAPE" 18.1 56.13
"UNIDEN" 209.9 315.6
"AGROHO" 82.27 71.45
"SYZYNE" 16.13 183.45
"PSYCGL" 226.62 26.51
"NARGMA" 302.02 257.34
"SHORME" 386.33 431.98
"MESUNA" 32.08 494.65
"MEMEAR" 165.6 194.8
"SHORDI" 496.78 175.98
"AGROHO" 127.77 39.81
"DIOSAC" 377.97 125.75
"UNIDEN" 186.12 373.33
"GAERVA" 192.68 455.24
"GAERRO" 168.78 265.47
"SEMEWA" 396.6 81.27
"IXORJU" 98.66 327.7
"HUMBLA" 124.55 208.41
"GARCHE" 57.43 476.17
"GARCHE" 485.09 457.1
"AGROIN" 401.77 360
"MYRIDA" 340.85 25.88
"DYSOPE" 32.48 336.42
"SHORDI" 481.8 210.82
"PSYCNI" 84.76 496
"SEMEAC" 149.3 270.65
"MEMEAR" 424.39 486.28
"ANISCI" 360.2 11.73
"UNIDEN" 135.92 326.96
"MALLFU" 232.83 219.9
"MESUNA" 419.11 328.93
"PALACA" 59.96 21.05
"AGROHO" 340.79 465.66
"HYDNOC" 306.44 269
"SHORDI" 487.28 382.22
"CULLCE" 248.08 113.93
"PSYCNI" 76.58 462.95
"LITSIT" 214.7 15.71
"GOMPSE" 137.98 468.89
"UNIDEN" 10.97 128.85
"PSYCDU" 127.82 145.78
"PSYCDU" 271.16 380.1
"MESUFE" 395.96 223.27
"PALACA" 222.23 156.15
"AGROIN" 366.15 117.27
"HUMBLA" 459.51 233.78
"MESUFE" 464.57 294.44
"SHORCN" 321.11 191.9
"PALACA" 140.89 172.69
"GLOCAC" 245.27 305.9
"LEEAIN" 129.71 111.18
"CRYPWI" 20.47 264.19
"AGROIN" 408.55 243.33
"HUMBLA" 96.65 235.42
"SHORAF" 486.42 294.67
"SYZYWI" 39.02 44.62
"NARGMA" 267.44 258.76
"HUMBLA" 0.26 431.94
"UNIDEN" 368.95 267.5
"AGROIN" 453.21 480.45
"AGROIN" 444.75 451.23
"GAERRO" 120.5 488.4
"ALLOZE" 23.58 298.87
"TRICER" 115.71 315.36
"HUMBLA" 402.59 118.82
"SHORDI" 121.55 327.18
"GARCHE" 332.94 180.86
"SHORDI" 462.12 127.02
"IXORJU" 147.45 233.41
"DIOSHI" 75 175
"SHORCR" 489.9 295.83
"SHORWO" 461.64 302.84
"SCHUCA" 177.08 240.5
"CULLCE" 365.85 269.8
"MEMEAR" 468.86 29.35
"SHORAF" 423.7 427.71
"HUMBLA" 403.88 410.89
"SHORDI" 450.91 434
"MANGZE" 346.04 71.7
"SHORWO" 459.27 293.37
"SHORCR" 430.66 187.81
"UROPEL" 54.22 111.34
"PSYCNI" 223.23 407.8
"XYLOCH" 401.97 327.1
"UROPEL" 182.41 387.55
"SHORCR" 458.19 218.68
"AGROIN" 484.22 152.38
"MESUNA" 201.13 40
"SHORCR" 152.73 332.5
"SEMEGA" 139.44 108.61
"SHORCR" 366.74 0.93
"AGROIN" 150.44 340.15
"SHORTR" 1.89 365.1
"MESUNA" 183.27 323.33
"AGROIN" 254.4 116.97
"AGROIN" 252.15 0.78
"AGROIN" 184.75 20.43
"XYLOCH" 50.65 223.76
"SHORCR" 81.01 180.92
"PODATH" 87.23 491.16
"HOPEJU" 474.95 195.61
"GLOCAC" 173.88 445.45
"ELAESU" 207.4 201.92
"PSYCNI" 75.49 167.82
"SHORME" 301.15 435.74
"MESUFE" 497.83 61.05
"SEMEWA" 71.79 107.58
"SHORWO" 484.27 396.77
"GAERRO" 489.91 290.24
"AGROHO" 174.45 123.17
"AGROIN" 240.85 34.26
"GARCHE" 152.31 411.81
"CHAECA" 6.27 245.39
"HUMBLA" 83.66 85
"HUMBLA" 199.11 87.04
"SHORTR" 48.18 257.17
"HUMBLA" 472.83 431.86
"SEMEWA" 65.55 114.5
"HUMBLA" 222.55 85.73
"SHORDI" 414.21 90.91
"STRONA" 176.87 366.21
"HUMBLA" 356.85 29.36
"ISONLA" 497.04 33.96
"MEMERO" 135.49 397.34
"SHORWO" 444.92 463.58
"MESUNA" 188.13 10.64
"AGROIN" 455.54 63.1
"MESUNA" 488.92 183.86
"APAMSI" 332.02 409.46
"MANGZE" 491.98 53.92
"HUMBLA" 146.32 216.4
"SHORAF" 480.75 21.95
"SEMEGA" 204.11 476.02
"MESUNA" 108 186.43
"MESUFE" 163.08 56.13
"CULLCE" 339.75 349.92
"PALAPE" 446.12 273.54
"AGROIN" 413.41 363.3
"MESUNA" 474.53 94.25
"DIOSHI" 82.69 152.52
"ELAEGL" 173.1 444.86
"AGROHO" 125.46 48.45
"SHORWO" 464.86 189.38
"DIOSHI" 487.36 160.71
"LEEAIN" 47.08 310.75
"MEMEAR" 424.71 267.88
"GARCHE" 132.35 163.35
"MEMEAR" 207.55 419.11
"HUMBLA" 447.06 114.15
"GARCHE" 276.79 398.92
"DIOSHI" 404.45 7.81
"GAERVA" 274.2 480
"SYMPCU" 371.33 38.58
"MEMEAR" 466 32.14
"GAERRO" 103.38 413.3
"MESUNA" 448.22 495.98
"GAERVA" 465.32 345.73
"PSYCNI" 172.87 199.5
"UNIDEN" 276.16 363.18
"UNIDEN" 362.52 314.85
"NARGMA" 80.38 109.43
"AGROHO" 83.27 54.48
"MESUNA" 378.48 184.88
"PALAPE" 430.75 329.8
"GAERRO" 68.04 361.51
"CHAEFE" 163.65 433.65
"BHESCE" 367.52 450.99
"AGROIN" 107.99 363.08
"AGROIN" 477.16 42.04
"UNIDEN" 155.75 202.69
"SYZYWI" 390.75 231.1
"SHORDI" 472.63 406.1
"MYRIDA" 26.62 492.87
"ALLOZE" 169.77 360.99
"UNIDEN" 435.88 212.55
"UNIDEN" 281.04 124.13
"GAERVA" 85.38 157.14
"HUMBLA" 347.43 127.18
"MALLRH" 209.4 142.63
"AGROIN" 205.59 56.12
"GARCHE" 171.3 453.77
"SHORDI" 421.26 423.04
"SHORDI" 489.28 165.48
"MESUNA" 371.72 128.36
"AGROIN" 418.86 464.04
"AGROIN" 261.99 47.6
"HYDNOC" 325.52 31.83
"PSYCDU" 258.6 317.4
"GARCHE" 73.32 172.55
"CINNVE" 0.66 365.29
"UNIDEN" 495.97 256.76
"SHORAF" 78.01 89.76
"MEMEAR" 280.48 363.74
"PALATH" 465.05 346.12
"BHESCE" 388.61 129.26
"HUMBLA" 206.54 323.46
"HUMBLA" 172.74 345.48
"EURYAC" 232.29 265
"CULLCE" 459.65 439.77
"MESUNA" 209.19 362.88
"HUMBLA" 481.11 312.14
"MASTTE" 56.89 493.41
"SEMEWA" 335 397.43
"AGROHO" 85.52 93.09
"UNIDEN" 52.69 34.35
"GARCHE" 38.21 96.57
"HUMBLA" 364.75 403.36
"AGROIN" 490.1 2.5
"BHESCE" 143.87 136.07
"GARCTH" 245.09 305.9
"MESUNA" 460.7 141.49
"PALACA" 130.5 457.97
"SHORCR" 222.21 134.63
"HUMBLA" 0.87 434.8
"SCHUCA" 72.98 325.26
"MESUFE" 462.85 109.39
"SHORAF" 400.25 9.91
"HUMBLA" 426.75 481.63
"PSEUCH" 225.69 433.01
"UNIDEN" 233.77 419.04
"HUMBLA" 426.68 311.56
"UNIDEN" 474.47 339.56
"PALAPE" 399.01 78.76
"DIOSAC" 316.04 18.8
"PSYCNI" 273.71 313.82
"SHORDI" 469.09 68.85
"APAMSI" 331.59 247.84
"HYDNOC" 406.71 201.88
"ELAEGL" 235.87 203.7
"AGROIN" 355.61 151.65
"GONIHO" 461.52 30.67
"SHORTR" 263.28 494.26
"UNIDEN" 92.35 342
"SCHUCA" 55 256.48
"MESUFE" 314.57 54.76
"MESUFE" 255.63 82.77
"MASTTE" 22.76 140.38
"CULLRO" 279.83 8.94
"CRYPWI" 455.93 211.94
"PALAPE" 375.29 45.58
"NEOLCA" 100.79 342.6
"CULLRO" 480.28 289.17
"GAERRO" 64.12 403.89
"SHORST" 73.98 332.65
"HUMBLA" 60.19 103.26
"AGROIN" 314.59 95.89
"SHORDI" 405.67 136.92
"SHORWO" 496.17 272
"MESUNA" 327.07 110.63
"SYZYWI" 91.6 294.38
"SYZYSP" 168.06 288.82
"AGROIN" 202.23 328.71
"SHORME" 325.18 84.01
"ANISCI" 303.08 337.06
"PSYCDU" 234.03 326.76
"MESUFE" 243.88 74.23
"AGROIN" 392.69 178.11
"SHORCN" 348.33 163.23
"CULLCE" 56.79 3
"MESUNA" 373.28 166.83
"GARCMO" 274.1 116.93
"HUMBLA" 463.19 392.59
"MESUFE" 365.81 447.34
"HUMBLA" 131.83 363.96
"PSEUCH" 164.45 225.75
"SHORWO" 490.98 157.52
"SHORAF" 399.33 157.22
"SHORME" 3.66 24.28
"HUMBLA" 473.07 235.36
"CULLRO" 467.65 285.87
"PSYCDU" 365.97 191.18
"SHORTR" 135.49 268.47
"UNIDEN" 114.75 300.25
"HUMBLA" 73.35 94.69
"GLYCPE" 336.11 227.32
"PSYCNI" 72.5 495.45
"MESUFE" 188.97 65.29
"SCHUCA" 99.86 308.6
"UNIDEN" 396.16 297.16
"MYRIDA" 3.14 492.8
"PSYCNI" 275.69 297.35
"AGROIN" 230.96 31.96
"SHORWO" 436.38 453.79
"NARGMA" 344.07 29.07
"MESUNA" 464.22 254.22
"UROPEL" 81.82 25.45
"AGROIN" 384.48 101.52
"AGROHO" 194.91 54.95
"LITSIT" 180.21 19.5
"UNIDEN" 215 253.17
"AGROIN" 259.29 5.5
"MESUFE" 447.01 226.08
"GAERVA" 57.33 404.72
"MESUNA" 458.95 319.91
"PALAPE" 427.63 491.73
"AGROHO" 186.88 138.08
"PSYCNI" 92.17 477.27
"AGROHO" 69.32 66.53
"PSEUCH" 134.2 144.78
"GARCHE" 6.5 95.14
"MESUFE" 395.23 443.6
"PALAPE" 425.2 449.79
"PAVEIN" 256.01 359.9
"SHORDI" 463.81 396.11
"AGROIN" 478.75 68.58
"MYRIDA" 185.75 256.06
"SHORDI" 347.79 115.25
"GARCHE" 144.56 403.01
"LITSLO" 262.52 487
"MESUNA" 293.33 117.09
"LEEAIN" 76.25 131.29
"HUMBLA" 284.69 125.09
"SYZYSP" 134.95 34.35
"DIOSAC" 409.59 498.65
"CULLCE" 246.12 110.8
"SHORDI" 364.92 30
"SHORCR" 306.19 128.33
"GARCHE" 168.02 467.25
"SYZYOP" 183.66 114.31
"PSYCNI" 95.5 391.8
"PALAPE" 244.53 97.71
"SYZYSP" 93.96 147.39
"SHORTR" 199.44 146.42
"MESUNA" 411.05 42.9
"SCHUCA" 66.7 261.94
"ELAESU" 220.63 405.1
"HUMBLA" 11.63 46.23
"GARCHE" 21.68 207.94
"DIOSHI" 252.92 113.55
"PSYCNI" 109.24 490.9
"SHORDI" 352 356.48
"AGROIN" 130.3 72.8
"GARCHE" 201.19 329.7
"TIMOJA" 273.32 344.01
"LITSLO" 27.75 318.96
"TRICER" 55.24 394.14
"SHORDI" 200.83 61.44
"SHORME" 152.33 313.94
"PALACA" 111.6 240.69
"GAERVA" 183.57 393.7
"AGROIN" 348.22 10.29
"GARCHE" 324.3 360.94
"GLOCAC" 261.93 313.07
"CULLRO" 357.42 45.87
"SHORDI" 426.85 402.17
"PALACA" 173.92 63.02
"MYRIDA" 26.14 190.71
"ANTIPY" 407.22 386.03
"MANGZE" 283.25 132.01
"PSYCNI" 310.6 465.95
"SCHUCA" 288.96 468.61
"UNIDEN" 326 465.79
"AGROIN" 464.23 454.95
"PALAPE" 489.38 220.57
"AGROIN" 478.77 379.41
"HUMBLA" 429.44 223.58
"STRONA" 483.63 276.86
"HUMBLA" 375.59 40.72
"MESUFE" 377.77 35.74
"GARCHE" 328.39 496.83
"PALACA" 279.59 106.9
"AGROHO" 149.72 2.18
"GARCHE" 417.6 368.47
"UNIDEN" 56.84 19.63
"SYZYNE" 277.8 344.5
"AGROIN" 485.38 160.43
"ANISCI" 203.33 444.65
"VITEAL" 113.91 277.5
"SHORST" 56.84 343.33
"CULLCE" 396.91 202.4
"ERYTOB" 114.06 310.39
"SHORCN" 33.87 481.11
"AGROIN" 451.4 262.02
"AGROHO" 126.56 78.49
"SYZYWI" 469.68 273.54
"SHORWO" 473.37 155.8
"MANGZE" 471.8 324.44
"SHORTR" 189.16 137.34
"PALACA" 373.48 443.92
"GARCHE" 311.84 96.54
"AGROHO" 81.45 69.95
"GARCHE" 172.88 405.28
"ALLOZE" 61.62 171.6
"AGROHO" 124.92 69.1
"MYRIDA" 321.47 280.51
"AGROHO" 149.02 10.59
"UNIDEN" 356.94 93.9
"AGROHO" 156.73 80.36
"AGROIN" 320.91 92.84
"AGROIN" 426.85 163.79
"ALLOZE" 43.7 146.43
"CALOBR" 399.9 384.66
"GLOCAC" 251.81 472.6
"UNIDEN" 225 309.34
"NOTHBE" 327.72 150
"PSYCNI" 141 484.45
"SEMEAC" 56.68 255.89
"SHORWO" 448.75 495.93
"UROPEL" 151.04 217.8
"HUMBLA" 170.6 309.28
"GLENUN" 135.04 85.51
"LITSIT" 218.99 319.78
"AGROIN" 233.33 2.75
"CULLRO" 120.39 398.8
"SHORDI" 351.23 188.74
"SHORDI" 444.72 316.8
"PALATH" 477.94 4.81
"SYZYNE" 74 216.52
"HUMBLA" 161.47 345.71
"SCHUCA" 161.57 153.74
"XYLOCH" 431.94 107.35
"AGROIN" 225.35 28.68
"UROPEL" 153.46 251.99
"HUMBLA" 379.92 45.38
"MESUNA" 349.09 110.98
"SHORAF" 112.97 377.03
"GARCHE" 270.22 135.67
"PSYCNI" 167.03 248.98
"MEMERO" 184.73 184.7
"SYMPCU" 388.17 383.97
"ANISCI" 49.26 36.63
"MEMESY" 486.86 387.48
"SHORDI" 137.13 38.83
"HUMBLA" 75.38 108.38
"MYRIDA" 114.31 327.29
"MEMEAR" 18.56 430.5
"SYZYNE" 14 197.07
"APAMSI" 200.42 482.95
"AGROHO" 95.17 88.44
"PSYCDU" 264.86 109.81
"MESUNA" 179.02 354.48
"MESUFE" 230.79 121.89
"MESUNA" 460.52 366.6
"SYMPHI" 219.95 176.15
"UROPEL" 493.43 272.25
"BHESCE" 221.36 276.65
"XYLOCH" 53.48 97.18
"SHORWO" 437.78 470.51
"AGROIN" 488.57 416.11
"SHORCR" 405.65 19.78
"SCHUCA" 304.45 476.93
"MESUNA" 401.67 334.91
"SEMEWA" 279.05 360.3
"SHORWO" 461.98 316.6
"SHORME" 129.74 312.61
"HUMBLA" 144.7 179.08
"XYLOCH" 306.12 287.55
"AGROIN" 383.39 250
"SHORME" 135 302.77
"SYZYNE" 119.33 165.84
"MEMERO" 490.98 328.01
"MESUNA" 451.17 312.39
"SEMESU" 383.23 21.67
"CHAECO" 7.73 344.86
"CALOTH" 272.77 368.76
"CINNCA" 175.88 496.11
"UNIDEN" 394.86 360.47
"HUMBLA" 55.1 99.71
"CULLCE" 340.96 171.98
"EUPHLO" 19.17 322.78
"HUMBLA" 398.04 189.04
"XYLOCH" 292.17 240.71
"PSYCNI" 215.59 270.37
"SHORTR" 348.59 295.09
"AGROIN" 469.24 44.72
"VITEAL" 149.36 209.51
"HUMBLA" 49.59 104.13
"SHORAF" 472.59 251.34
"MESUNA" 480.57 348.1
"HUMBLA" 392.89 97.48
"MESUNA" 355.46 94.9
"HUMBLA" 427.91 367.64
"XYLOCH" 291.1 116
"IXORJU" 268.19 461.18
"HUMBLA" 375.45 449.85
"SHORCR" 423.43 53.48
"HUMBLA" 403.62 119.86
"CALOBR" 75.92 217.63
"DIOSAC" 318.09 143.1
"AGROIN" 78.04 77.43
"XYLOCH" 117 157.96
"SHORDI" 428.56 55.81
"DIOSQU" 9.73 409.95
"HUMBLA" 416.58 319.36
"SHORME" 73.3 2.76
"SHORWO" 432.95 324.49
"HUMBLA" 489.37 113.25
"MASTTE" 106.47 96.79
"AGROHO" 91.92 54.25
"UNIDEN" 441.89 146.86
"PALACA" 220.1 244.26
"SHORWO" 475.27 392.74
"MESUNA" 377.69 177.6
"SHORDI" 365.29 40.05
"SHORTR" 41.27 53.99
"CALOTH" 261.42 0.47
"AGROHO" 42.13 63.96
"SHORAF" 428.01 143.54
"PALACA" 277.88 198.09
"MESUNA" 195.78 95.95
"SCHUCA" 51.29 268.77
"SHORST" 18.3 380.3
"AGROIN" 444.58 279.07
"CINNCA" 486.44 262.33
"ANISCI" 209.24 31.53
"MANGZE" 497.85 239.69
"MESUNA" 330.54 111.36
"NOTHBE" 328.51 147.21
"SEMEWA" 15.4 428.48
"CULLCE" 39.52 54.56
"SHORTR" 113.65 482.38
"MESUFE" 122.38 27.35
"MESUFE" 288.92 68.5
"SEMEAC" 115.6 458.07
"SHORTR" 124.48 162.26
"SHORDI" 431.81 440.24
"AGROIN" 200.99 66.73
"PAVEIN" 112 405.37
"HOPEJU" 380.71 488.94
"GARCHE" 261.71 413.85
"MEMERO" 270 195.86
"MYRIDA" 179.5 434.51
"AGROIN" 440.55 23.64
"LITSIT" 468.3 246.7
"UNIDEN" 198.1 267.1
"AGROIN" 476.26 423.63
"MEMEA_" 390.73 104.4
"SHORWO" 372.28 392.74
"PSYCDU" 470.7 111.53
"UNIDEN" 469.49 433.56
"SYZYNE" 172.25 242.4
"AGROIN" 446.4 423.7
"PUTRRO" 10.87 37.89
"ISONLA" 477.86 161.14
"HUMBLA" 306.89 380.15
"PALAPE" 438.4 274.86
"SHORWO" 27.86 492.61
"MEMERO" 294.48 20.58
"NOTHBE" 229.95 84.04
"SHORTR" 2.36 368.71
"DIOSAC" 395.96 214.8
"GARCHE" 36.86 385.59
"HUMBLA" 498.82 85
"MESUFE" 493.9 205.15
"HUMBLA" 443.64 310.05
"HUMBLA" 212.56 327.5
"SEMEWA" 451.15 371.63
"SHORWO" 441.3 346.98
"MADHFU" 441.92 331.96
"SHORDI" 335.04 186.32
"AGROHO" 67.72 68.89
"SYZYWI" 196.57 248.8
"MEMERO" 266.56 332.29
"GARCHE" 318.3 349.54
"SHORME" 335.48 438.37
"PSYCDU" 169.33 243.39
"MEMED_" 212.76 498.64
"MESUFE" 463.55 382.35
"MYRIDA" 325 275.1
"SEMEWA" 291.81 417.5
"SHORTR" 7.82 388.69
"SHORWO" 277.54 490
"AGROIN" 413.97 65.82
"HUMBLA" 43.66 78.86
"GARCHE" 463.78 74.45
"AGROIN" 432.89 452.3
"SHORAF" 444.73 305.89
"UROPEL" 288.05 154.38
"UROPEL" 239.45 279.39
"UNIDEN" 441.34 203.24
"GARCHE" 158.39 146.38
"SHORTR" 256.81 202.81
"CALOTH" 372.99 349.08
"HUMBLA" 159.06 332.3
"AGROIN" 432.14 385.64
"AGROIN" 139.52 364.43
"MYRIDA" 410.57 358.06
"PRISTE" 300.48 117.68
"SHORCR" 422.64 215.78
"CHAECA" 103.99 428.88
"AGROIN" 187.55 367.25
"CULLCE" 340.78 334.71
"AGROHO" 170.67 24.6
"PALACA" 229.32 165.24
"SCHUCA" 150.8 36.25
"SEMESU" 62.95 462.45
"HUMBLA" 104.38 365.25
"ANISCI" 278.87 491.2
"CULLCE" 229.34 217.42
"AGROIN" 494.48 302.5
"CALOBR" 185.32 204.13
"DIPTHI" 63.03 63.15
"HUMBLA" 302.59 71.7
"PALACA" 90.05 498.11
"PALAPE" 442.85 60.2
"SHORWO" 482.48 342.11
"EUPHLO" 40.31 454.85
"PSYCNI" 213.83 306.9
"HUMBLA" 119.8 357.6
"ALLOZE" 173.92 112.18
"MESUNA" 390.88 411.42
"PSYCNI" 108.25 473.24
"SHORME" 170.33 12.21
"MYRIDA" 20.83 463.03
"AGROIN" 68.88 21.25
"GARCHE" 134.1 71.5
"AGROIN" 407.66 340.43
