"gx" "gy" 
"SCHUCA" 31.86 141.19
"AGROIN" 422.92 250.49
"HUMBLA" 383.63 200.95
"SEMEWA" 459.25 383.8
"AGROHO" 178.84 15.68
"SHORWO" 495.72 428.69
"MESUNA" 0.58 452.45
"GAERRO" 147.38 459.4
"AGROHO" 125.81 67.82
"MESUNA" 403.18 475.58
"AGROHO" 70.85 79.67
"GLOCAC" 267.18 429.12
"SHORCR" 194.52 121.79
"MYRIDA" 465.29 361.84
"XYLOCH" 177.55 196.82
"MEMEAR" 1.51 375.82
"GAERVA" 26.53 128.1
"HUMBLA" 333.21 112.43
"SYZYOP" 34.38 336.42
"PALATH" 463.76 371.54
"LASIOB" 295.4 288.75
"UROPEL" 236.03 216.12
"AGROIN" 476.55 485.56
"MESUFE" 350.92 229.86
"MESUNA" 370.46 171.05
"MESUFE" 147.45 7.45
"SCHUCA" 235.23 428.07
"POMETO" 228.48 349.17
"MESUFE" 479.25 295.69
"GOMPSE" 131.5 302.8
"DIOSAC" 229.58 154.55
"MASTTE" 124.53 106.31
"DILLRE" 39.22 259.46
"SHORCR" 172.32 110.4
"AGROIN" 319.49 104.12
"HUMBLA" 76.86 364.24
"SEMEGA" 103.66 126.68
"PSYCNI" 139.2 280.28
"UROPEL" 35.61 282
"HUMBLA" 388.75 293.73
"GARCHE" 145.98 445.45
"HUMBLA" 211.13 346.49
"HUMBLA" 437.54 452.48
"CHAECO" 22.54 365.55
"AGROIN" 300.2 112.91
"ANISCI" 142.55 148.93
"SHORWO" 418.96 165.2
"UNIDEN" 93.16 432.38
"GAERVA" 221.98 412.43
"MESUNA" 385.69 447.91
"PALATH" 392.78 292.6
"SEMEWA" 113.6 481.57
"SYMPCO" 205.93 404.3
"GARCHE" 352.39 260.1
"UNIDEN" 378.96 413.32
"ANISCI" 138.73 173.87
"HYDNOC" 333.21 121.96
"MYRIDA" 383.81 256.67
"PSYCNI" 66.91 474.95
"TRICER" 140.4 310.45
"HUMBLA" 398.72 312.57
"CULLRO" 177.91 379.43
"UROPEL" 68.99 335.32
"MESUNA" 476.72 181.01
"MEMEAR" 232.37 317.48
"GARCHE" 270.81 228.2
"GARCHE" 216.85 21.73
"GLOCAC" 264.7 289.4
"MESUNA" 134.09 343.56
"SEMEWA" 339.25 416.06
"DILLRE" 256.98 198.9
"SYZYAQ" 56.93 376.15
"PALACA" 162.27 34.62
"HUMBLA" 401.5 88.3
"SHORAF" 401.97 279.51
"SHORAF" 95.59 346.94
"MESUFE" 335.78 46.57
"FICUHI" 138.39 2.97
"PSYCNI" 77.06 182.06
"EURYAC" 220.48 488.74
"AGROIN" 364.67 403.91
"DIOSHI" 326.88 80.54
"MESUFE" 324.01 237.8
"SHORAF" 391.06 423.1
"NARGMA" 272.75 132.33
"PALAPE" 468.22 290.93
"SHORCR" 401.07 65.7
"MESUNA" 404.31 118.5
"SHORME" 10.83 30.5
"SHORDI" 125.44 23.47
"GAERRO" 213.8 263.85
"MESUFE" 175.78 23.98
"MESUNA" 427.98 334.51
"HUMBLA" 362.64 378.77
"AGROHO" 172.05 52.04
"HUMBLA" 374.87 379.04
"PALAPE" 483.68 324.58
"MESUNA" 185.98 346.6
"AGROIN" 441.93 262.98
"UNIDEN" 499.23 272.75
"HUMBLA" 415.53 316.78
"SYZYSP" 208.87 156.96
"UNIDEN" 3.45 409.59
"UNIDEN" 143.18 452.21
"UNIDEN" 412.91 319.9
"GARCHE" 231.98 430
"MESUNA" 235.1 55.82
"SEMEWA" 293.9 201.84
"GARCMO" 256.08 465
"HUMBLA" 146.35 179.95
"GLENUN" 265.08 173.85
"HUMBLA" 424.62 439.07
"CINNCA" 466.12 320.18
"MESUNA" 390.12 175.85
"TRICER" 5.4 191.09
"GLOCAC" 219.9 190.61
"SEMEWA" 408.51 296.51
"PALACA" 229.45 157.12
"MYRIDA" 133.74 216.58
"AGROIN" 197.62 64.04
"HUMBLA" 443 309.82
"PALAPE" 395.75 221.94
"MESUNA" 431.31 137.71
"GARCHE" 186.51 361.36
"SHORAF" 7.56 453.77
"AGROHO" 252.77 19.51
"HUMBLA" 205.75 79.76
"AGROIN" 486.32 164.62
"UNIDEN" 444.1 288.33
"SHORDI" 406.48 30.96
"AGROIN" 277.03 120.1
"AGROIN" 482.02 143.3
"MESUNA" 434.74 318.37
"PALACA" 165.8 431.83
"SEMEGA" 58.92 134.66
"ELAESU" 91.44 427.75
"SHORDI" 433.43 255.94
"PAVEIN" 140.81 245.65
"SYZYWI" 133.56 460.32
"AGROIN" 370.04 148.96
"MESUFE" 354.41 274
"MESUNA" 433 139.9
"GAERVA" 115.88 313.1
"SHORCR" 454.18 115.4
"MYRIDA" 425.28 142.83
"SHORDI" 21.18 69.34
"UNIDEN" 429.65 478.46
"ANISCI" 24.49 105.3
"LASIOB" 477.41 142.08
"SYZYSY" 122.22 468.05
"CALOTH" 463.62 374.81
"HUMBLA" 495.67 52.4
"HUMBLA" 454.03 90.26
"HUMBLA" 455.55 498.4
"MASTTE" 214.54 269.21
"APAMSI" 195.45 181.8
"MYRIDA" 110.41 230.13
"MASTTE" 303.08 173.9
"SYZYNE" 74.79 238.55
"CALOBR" 59.19 178.06
"SHORWO" 423.83 365.98
"GARCHE" 7.81 399.3
"MANGZE" 220.66 442.72
"GAERVA" 232.63 454
"SHORCR" 339.27 165.63
"CINNDU" 468.52 467.92
"CULLRO" 463.64 284.7
"PALACA" 116.9 159.31
"MESUNA" 437.81 193.93
"PSYCNI" 133.74 307.84
"CULLCE" 248.06 41.03
"MEMERO" 452.75 305.32
"AGROIN" 414.22 342.95
"HUMBLA" 120.39 391.96
"MANGZE" 304.91 83.7
"CINNCA" 243.93 457.5
"SHORME" 276.32 66.3
"XYLOCH" 71.07 182.58
"AGROIN" 225.7 39.52
"MESUFE" 410.63 437.92
"LEEAIN" 37.97 306.27
"AGROIN" 33.7 104.76
"SYZYOP" 317.74 299.12
"AGROHO" 76.15 63.79
"MYRIDA" 427.52 43.64
"GAERRO" 296.32 354.15
"AGROIN" 428.3 76.02
"AGROHO" 173.77 80.71
"HUMBLA" 382.57 399.35
"MESUFE" 407.4 228.48
"MESUFE" 444.7 217.25
"CHAECO" 42.95 414.04
"HYDNOC" 319 162.14
"GARCHE" 466.84 473.01
"AGROIN" 340.22 105.79
"SYZYWI" 58.4 236.21
"GARCHE" 49.84 401.53
"SHORDI" 447.46 79.33
"SHORDI" 425.82 125.49
"NARGMA" 169.72 397.45
"PSYCNI" 164.47 464.41
"AGLAAP" 135.98 70
"ANTIPY" 311.18 357.41
"MEMERO" 311.57 127.7
"GARCHE" 215.1 108.41
"GARCHE" 409.34 256.39
"HUMBLA" 203.94 85.42
"CULLCE" 389.56 28.01
"HUMBLA" 372.62 49.38
"APAMSI" 187.34 173.69
"PALACA" 183.76 175.18
"ANISCI" 168.6 116.15
"CULLCE" 115.69 385.24
"HUMBLA" 444.46 270
"SHORME" 112.21 4.54
"HUMBLA" 371.43 199.22
"SEMEGA" 70.3 358.81
"UNIDEN" 268.88 218.7
"AGROIN" 144.1 355.85
"AGROIN" 266.68 126.32
"PSYCNI" 270.65 213.54
"UNIDEN" 25.42 35.81
"PALACA" 19.39 368.24
"PALAPE" 445.55 460.95
"MESUNA" 426.13 286.55
"HUMBLA" 71.62 86.92
"SYZYMA" 360.53 4.42
"MESUNA" 401.69 338.76
"GARCHE" 160.84 121.88
"HUMBLA" 136.72 350.96
"UROPEL" 1.42 284.04
"MEMERO" 479.76 336.32
"AGROHO" 44.9 57.33
"AGROIN" 317.1 97.72
"GARCHE" 145.78 407.21
"GARCHE" 179.47 120.38
"SEMEWA" 369.05 292.95
"MESUNA" 463.64 375.33
"HUMBLA" 230.61 119.17
"ALLOZE" 44.66 273.52
"SHORWO" 491.93 414.95
"AGROHO" 164.73 89.14
"URANAP" 117.79 192
"SHORDI" 421.96 265
"MESUNA" 217.76 81.7
"UNIDEN" 236.15 2.36
"AGROIN" 269.75 5.75
"MESUNA" 306.54 35.71
"CINNCA" 108.47 342.86
"CARACA" 8.18 388.24
"HUMBLA" 427.28 484.39
"HUMBLA" 191.38 69.44
"GAERVA" 101.67 273.79
"SHORWO" 463.1 439.58
"PSYCDU" 159.47 229.83
"UNIDEN" 482.64 328.36
"SCHUCA" 78.43 311.18
"MESUNA" 441 344.53
"SHORWO" 158.46 296.36
"SCHUCA" 146.43 63.27
"HOPEJU" 479.79 105.32
"UNIDEN" 388.89 439.36
"SCHUCA" 103.56 472.87
"VITEAL" 100.34 115
"SYZYWI" 253.29 352.98
"GOMPSE" 16.18 361.95
"PALATH" 447.41 148.11
"GARCHE" 268.91 406.2
"CALOTR" 448.85 465.41
"MESUFE" 294.22 79.13
"GARCHE" 165.57 387.99
"UNIDEN" 255.44 13.13
"HUMBLA" 362.22 426.19
"MESUFE" 269.96 102.55
"GLOCAC" 324.54 435.18
"HUMBLA" 181.01 313.53
"PSYCDU" 234.29 446.63
"SHORAF" 394.13 8.7
"MYRIDA" 319.3 77.19
"SHORAF" 276.32 58.41
"AGROIN" 120.2 359.4
"CULLCE" 328.42 145.74
"MESUNA" 474.07 250.09
"HUMBLA" 87.24 211.07
"HUMBLA" 312.84 389.8
"TRICER" 160.2 310.63
"HUMBLA" 356.33 34.02
"SEMEWA" 167.94 498.61
"HUMBLA" 18.46 82.91
"AGROHO" 174.67 17.92
"HUMBLA" 133.33 183.15
"MESUNA" 365.76 387.41
"SHORAF" 265.77 42.91
"UNIDEN" 417.54 285.73
"AGROIN" 122.88 45.68
"MESUNA" 438.81 315
"GAERRO" 98.19 429.46
"PODATH" 304.2 483.71
"MELAMA" 213.79 195.21
"PALAPE" 460.57 369.23
"MESUNA" 466.53 208.11
"MESUNA" 475.71 314.32
"PSEUCH" 42.31 250.51
"MEMEAR" 224.69 288.02
"AGROIN" 404.61 355.2
"AGROIN" 485.89 99.38
"GAERVA" 74.04 247.38
"CULLCE" 400.69 116.82
"UNIDEN" 317.31 371.9
"MADHFU" 428.25 316.79
"GAERRO" 93.06 321.59
"PSYCNI" 269.03 424.1
"HUMBLA" 163.2 320.35
"GYRIWA" 277.03 41.57
"HUMBLA" 140.1 194.75
"UROPEL" 177.15 2.52
"SHORDI" 471.92 166.43
"MESUFE" 411.73 244.26
"SHORDI" 201.94 65.63
"MESUNA" 388.66 303.2
"POMETO" 288.4 65.2
"SHORWO" 447.72 443.25
"AGROIN" 360.12 414.41
"GAERRO" 352.22 167.91
"SHORME" 318.91 168.92
"PALATH" 429.49 339.8
"MEMEAR" 407.16 105.38
"HUMBLA" 187.48 78.64
"HUMBLA" 203.78 317.8
"SHORDI" 388.97 6.61
"UNIDEN" 13.01 41.99
"HUMBLA" 291.38 117.55
"GARCHE" 116.44 350.63
"EUPHLO" 277.5 211.57
"PSYCDU" 223.1 98.82
"MESUNA" 373.15 346.22
"HYDNOC" 301.25 230.82
"SHORTR" 231.07 314.61
"HUMBLA" 419.91 243.33
"SHORTR" 199.85 286.94
"PALACA" 208.4 441.39
"MESUNA" 413.21 467.35
"CINNCA" 354.64 268.11
"MESUNA" 404.58 85.85
"GAERVA" 158.03 194.16
"MEMED_" 61.76 23.85
"HUMBLA" 464.28 433.23
"SHORWO" 396.04 356.52
"AGROIN" 419.43 153.71
"SCHUCA" 206.07 198
"SHORAF" 427.91 39.53
"PALACA" 233.74 456.37
"SYZYNE" 154.77 486.32
"CRYPWI" 478.21 272.37
"SHORAF" 463.73 308.4
"HUMBLA" 384.36 458.14
"GARCHE" 43.88 87.18
"CHAECO" 247.67 208.48
"HUMBLA" 370.55 105.38
"LITSLO" 252.1 450.69
"AGROHO" 174.24 21.43
"AGROIN" 118.37 192.19
"PALACA" 151.78 127.45
"SEMEWA" 279.67 198.27
"SHORWO" 424.27 320.69
"UNIDEN" 483.47 444.12
"UROPEL" 75.79 329.61
"SCHUCA" 309.9 420.09
"LITSLO" 423.22 302.12
"UROPEL" 100.71 240.55
"GARCHE" 240.74 286.84
"MESUNA" 342.81 360.29
"HUMBLA" 366.55 358.04
"SHORTR" 55.38 192.94
"HOPEJU" 485 262.14
"HUMBLA" 410.29 248.3
"GAERVA" 22.14 201.41
"SHORAF" 386.79 291.96
"LEEAIN" 207.42 394.26
"CULLCE" 207.8 33.27
"SHORAF" 360.52 172.35
"MESUNA" 198.76 352.41
"SHORME" 326.18 122.16
"HYDNOC" 406.59 210.4
"EUPHLO" 294.85 253.11
"GAERRO" 98.77 164.48
"GARCHE" 146.48 134.95
"UNIDEN" 497.15 333.37
"SYZYWI" 199.46 215.2
"MESUNA" 448.57 146.94
"AGROIN" 366.84 485.69
"PALACA" 444.59 247.48
"SEMEWA" 403.85 450.64
"AGROIN" 499.62 423.86
"HOPEJU" 315.4 159
"UNIDEN" 473.39 423.11
